slug,tool_name,category,current_logic_quality,required_logic_type,missing_intent_features,maximum_relevant_options,expected_result_count,output_card_structure,per_result_actions,upgrade_priority,reason
dnd-name-generator,D&D Name Generator,Gaming & Fantasy Generators,okay,writing_outline_sections,"Needs clearly labeled sections, variants, hooks/details, audience/tone handling, and ready-to-edit structure.",topic; audience; tone; length; format; call to action,1-5 structured drafts or 6-12 ideas,"writing sections: title/hook, body bullets, details, CTA/next step",copy section; copy draft; regenerate section; expand,medium,Existing logic is present but should be aligned to writing_outline_sections premium output expectations.
orc-name-generator,Orc Name Generator,Gaming & Fantasy Generators,basic,name_ideas_with_labels,"Needs grouped name ideas with labels, style tags, short rationale, pronunciation/availability-friendly variants where relevant.",keyword; style; format length; niche/genre; result count,20-40 names,"name card: name, category label, style tags, short why-it-works note",copy name; copy with note; regenerate similar; copy group,medium,Current output is likely generic for orc name generator; upgrade should use name_ideas_with_labels structure.
witch-name-generator,Witch Name Generator,Gaming & Fantasy Generators,basic,name_ideas_with_labels,"Needs grouped name ideas with labels, style tags, short rationale, pronunciation/availability-friendly variants where relevant.",keyword; style; format length; niche/genre; result count,20-40 names,"name card: name, category label, style tags, short why-it-works note",copy name; copy with note; regenerate similar; copy group,medium,Current output is likely generic for witch name generator; upgrade should use name_ideas_with_labels structure.
alien-name-generator,Alien Name Generator,Gaming & Fantasy Generators,basic,name_ideas_with_labels,"Needs grouped name ideas with labels, style tags, short rationale, pronunciation/availability-friendly variants where relevant.",keyword; style; format length; niche/genre; result count,20-40 names,"name card: name, category label, style tags, short why-it-works note",copy name; copy with note; regenerate similar; copy group,medium,Current output is likely generic for alien name generator; upgrade should use name_ideas_with_labels structure.
vampire-name-generator,Vampire Name Generator,Gaming & Fantasy Generators,basic,name_ideas_with_labels,"Needs grouped name ideas with labels, style tags, short rationale, pronunciation/availability-friendly variants where relevant.",keyword; style; format length; niche/genre; result count,20-40 names,"name card: name, category label, style tags, short why-it-works note",copy name; copy with note; regenerate similar; copy group,medium,Current output is likely generic for vampire name generator; upgrade should use name_ideas_with_labels structure.
fairy-name-generator,Fairy Name Generator,Gaming & Fantasy Generators,basic,name_ideas_with_labels,"Needs grouped name ideas with labels, style tags, short rationale, pronunciation/availability-friendly variants where relevant.",keyword; style; format length; niche/genre; result count,20-40 names,"name card: name, category label, style tags, short why-it-works note",copy name; copy with note; regenerate similar; copy group,medium,Current output is likely generic for fairy name generator; upgrade should use name_ideas_with_labels structure.
goblin-name-generator,Goblin Name Generator,Gaming & Fantasy Generators,basic,name_ideas_with_labels,"Needs grouped name ideas with labels, style tags, short rationale, pronunciation/availability-friendly variants where relevant.",keyword; style; format length; niche/genre; result count,20-40 names,"name card: name, category label, style tags, short why-it-works note",copy name; copy with note; regenerate similar; copy group,medium,Current output is likely generic for goblin name generator; upgrade should use name_ideas_with_labels structure.
character-name-generator,Character Name Generator,Creative & Story Generators,basic,name_ideas_with_labels,"Needs grouped name ideas with labels, style tags, short rationale, pronunciation/availability-friendly variants where relevant.",keyword; style; format length; niche/genre; result count,20-40 names,"name card: name, category label, style tags, short why-it-works note",copy name; copy with note; regenerate similar; copy group,high,Current output is likely generic for character name generator; upgrade should use name_ideas_with_labels structure.
story-name-generator,Story Title Generator,Creative & Story Generators,basic,name_ideas_with_labels,"Needs grouped name ideas with labels, style tags, short rationale, pronunciation/availability-friendly variants where relevant.",keyword; style; format length; niche/genre; result count,20-40 names,"name card: name, category label, style tags, short why-it-works note",copy name; copy with note; regenerate similar; copy group,medium,Current output is likely generic for story name generator; upgrade should use name_ideas_with_labels structure.
twitch-name-generator,Twitch Name Generator,Creative & Story Generators,basic,name_ideas_with_labels,"Needs grouped name ideas with labels, style tags, short rationale, pronunciation/availability-friendly variants where relevant.",keyword; style; format length; niche/genre; result count,20-40 names,"name card: name, category label, style tags, short why-it-works note",copy name; copy with note; regenerate similar; copy group,medium,Current output is likely generic for twitch name generator; upgrade should use name_ideas_with_labels structure.
